"time","mean","stdev","min","max","q1","q3","median","throughput","('s9', 's18')","('s9', 's8')","('s9', 's7')","('s9', 's6')","('s9', 's10')","('s8', 's7')","('s8', 's5')","('s3', 's2')","('s3', 's1')","('s3', 's6')","('s2', 's12')","('s2', 's1')","('s1', 's4')","('s7', 's20')","('s7', 's25')","('s6', 's12')","('s6', 's10')","('s6', 's4')","('s5', 's25')","('s5', 's27')","('s5', 's4')","('s19', 's20')","('s19', 's18')","('s19', 's17')","('s19', 's21')","('s18', 's20')","('s18', 's17')","('s13', 's11')","('s13', 's16')","('s13', 's15')","('s13', 's14')","('s12', 's11')","('s11', 's10')","('s11', 's16')","('s10', 's16')","('s17', 's16')","('s17', 's15')","('s17', 's14')","('s15', 's14')","('s30', 's28')","('s30', 's29')","('s30', 's24')","('s22', 's23')","('s22', 's21')","('s22', 's24')","('s23', 's28')","('s23', 's26')","('s23', 's24')","('s20', 's26')","('s20', 's21')","('s26', 's25')","('s27', 's28')","('s27', 's29')","('s27', 's25')","('s25', 's28')","('s28', 's29')"
15.3,0.42589400015809675,0.36547586314464053,0.0,1.0000000000000004,0.029999999999998549,0.838509434849525,0.33492435893597994,238500640088.53424,1.0000000000000004,0.7685980366809353,0.9419205612934447,0.972805621065899,0.3770682338605661,0.019999999999993356,0.029999999999995218,0.3159905535792195,0.33385816429274473,0.11829888930158944,0.3159905535792195,0.0,0.7715075514313819,0.009999999999994458,0.9719205612934444,0.5823506128613549,0.4476493871386362,0.9999999999999973,0.3438581642927452,0.01000000000000038,0.33385816429274473,0.009999999999994458,0.2594024514454446,0.46493427401870885,0.2833270337783074,0.9628742885911119,0.9961916314201321,0.3359905535792177,0.3852038153144239,0.9999999999999968,0.3159905535792195,0.3359905535792151,0.01000000000000038,0.2833270337783074,0.02999999999999966,0.9999999999999959,0.384293595093872,0.11709141994094159,0.0,0.908028855990245,0.0,0.5648523274328788,0.8395185507929319,0.2833270337783074,0.2833270337783074,0.863184023529824,0.3466307798867792,0.010000000000000378,0.8381730628683892,0.12470122572272209,0.9999999999999959,0.0,0.01000000000000038,0.01000000000000038,0.9180288559902454,0.010000000000000378
15.4,0.3501594521923051,0.35222690397410944,0.0,1.0000000000000013,0.010000000000000007,0.5489539369459614,0.28395773889536502,196089293227.69089,1.0000000000000013,0.8270875460308956,0.5367292366270132,0.9957075810472975,0.37344088516124524,0.0,0.0,0.009999999999994458,0.3416551708755269,0.019999999999999067,0.009999999999994458,0.0,0.7760271329727126,0.010000000000001754,0.5167292366270094,0.5856280379028059,0.4243719620971874,0.9999999999999966,0.3516551708755302,0.030000000000002826,0.38165517087553175,0.01000000000000334,0.2896550087541012,0.5265209380732571,0.27826046903662877,0.9538925300827951,0.9298510642343163,0.0,0.3811960192053538,0.9999999999999964,0.0,0.010000000000002071,0.0,0.2482604690366267,0.010000000000000377,0.9999999999999972,0.40743546596634417,0.0012074693606489717,0.0,0.468192295428997,0.010000000000000378,0.1832883514657671,0.6578832038795004,0.2682604690366272,0.2682604690366272,0.674217731142613,0.3497754124243505,0.0,0.8240650257057435,0.1398275043770499,0.9999999999999964,0.0,0.030000000000002826,0.009999999999998899,0.48819229542900067,0.0
15.5,0.36134995783717189,0.32757268481425278,0.0,0.99999999999999667,0.010000000000000897,0.63281092959589835,0.31000869270870524,202355976388.81631,0.9999999999999958,0.7455236746862713,0.35652008183426614,0.9974999999999965,0.3633333333333316,0.0,0.0,0.0,0.3233333333333346,0.31107088560098944,0.12950350428283705,0.30894649981642397,0.9116133643557974,0.0,0.35652008183426614,0.2711293058129779,0.27933353120603965,0.7220302183371711,0.6322798331497573,0.3110708856009865,0.9333507187507455,0.05949624067245565,0.38444914634461486,0.5594962406724537,0.25499999999999984,0.7008061543642198,0.6156052115936008,0.0,0.5989048738968614,0.993930929699926,0.7254361911634708,0.010000000000001563,0.01999999999999928,0.25499999999999984,0.009999999999994458,0.9999999999999967,0.181969061703345,0.003186748500934774,0.0,0.6344042189343215,0.0,0.0,0.3423400868892834,0.25499999999999984,0.25499999999999984,0.35234008688928237,0.3533333333333298,0.0,0.6378295740057861,0.12247282103088929,0.9999999999999967,0.3010708856009876,0.009999999999998899,0.0,0.6454665816506926,0.0
15.6,0.35074471551829223,0.33273785966357933,0.0,0.99999999999999689,0.010000000000000378,0.66371476228034587,0.33257047543930351,196417040690.24362,0.9999999999999969,0.23174387458627277,0.41924277605975824,0.4950405617115033,0.3624295245606936,0.009999999999998899,0.01999999999999928,0.010000000000000378,0.3275704754393041,0.3375704754393044,0.5827821009547383,0.7787042328314269,0.6624295245606936,0.010000000000000378,0.39924277605975894,0.26329668712523036,0.0,0.4492188190019203,0.6351409508786108,0.33757047543930285,0.9999999999999963,0.3547350777676915,0.3649450306878483,0.7242052333030735,0.05420523330307514,0.7869132657949214,0.6970232044192203,0.010000000000000378,0.7296923970476856,0.7296923970476856,0.6978343673965529,0.009999999999998897,0.010000000000000378,0.315264922232307,0.010000000000000378,0.9999999999999957,0.4663834213303075,0.016813251499065984,0.0,0.6675704754393025,0.0,0.009999999999998899,0.0,0.05420523330307514,0.05420523330307514,0.0,0.3524295245606918,0.009999999999998899,0.9999999999999957,0.12164834356261629,0.9999999999999957,0.32757047543930407,0.019999999999997797,0.029999999999999652,0.6843837269383699,0.0
15.7,0.30792829533265509,0.32831325907641584,0.0,1.00092969595861,0.0099999999999988987,0.50050832102480824,0.24625376339393368,172439845386.28683,0.999999999999997,0.1452510106866585,0.5120332840992369,0.37169162475788314,0.5020332840992388,0.0,0.009999999999999785,0.009999999999998899,0.25125376339393135,0.25125376339393224,0.8869064741506385,1.00092969595861,0.7037612901818006,0.020000000000002238,0.5120332840992449,0.2994460295961828,0.009999999999998899,0.4234692514041562,0.4725075267878708,0.24125376339393598,0.9999999999999961,0.4626961420725244,0.3616916247578889,0.9353922841450512,0.020000000000000757,0.38583086911612985,0.434319809713531,0.0,0.009999999999999641,0.0,0.4999999999999983,0.0,0.0,0.4626961420725244,0.009999999999999641,0.9999999999999969,0.5779471527591847,0.010000000000000378,0.0,0.43524637506915437,0.0,0.0,0.0,0.020000000000000757,0.020000000000000757,0.009999999999998899,0.502033284099238,0.0,0.7312964696026917,0.11723054158596286,0.9172796591683944,0.23125376339393444,0.0,0.0,0.4552463750691627,0.01000000000000334
15.8,0.32387256166491291,0.3598548457477902,0.0,0.99999999999999745,0.009999999999994456,0.53766382373601274,0.20399999999999915,181368634532.35123,0.9999999999999938,0.1206484719104921,0.8118274496022079,0.34600682303356395,0.8018274496022045,0.0,0.010000000000005116,0.0,0.20399999999999943,0.20399999999999888,0.9146689410111848,0.9999999999999968,0.6119999999999992,0.03000000000000824,0.8118274496022079,0.4313378820223756,0.01000000000000038,0.5166689410111872,0.40799999999999914,0.21400000000000452,0.9999999999999974,0.5000000000000011,0.34600682303356395,0.9999999999999966,0.04999999999999479,0.10866894101118817,0.32798635393286796,0.0,0.0,0.0,0.9932640260268232,0.0,0.02000000000000668,0.49999999999999817,0.009999999999994458,0.9999999999999966,0.6006484719104896,0.0,0.009999999999994456,0.21400000000000752,0.0,0.009999999999994456,0.08257579465459841,0.04999999999999597,0.009999999999994456,0.06257579465459648,0.7818274496021979,0.0,0.5100000000000044,0.11866894101118973,0.975827449602197,0.20400000000000418,0.0,0.0,0.20400000000000246,0.0
15.9,0.28301710121613144,0.33082247922000851,0.0,0.99999999999999722,0.010164960668877399,0.44407262105176504,0.14080454831287351,158489576681.03351,0.9999999999999972,0.22053840869249142,0.16160077300455694,0.4206371188173624,0.05255390940109805,0.0,0.12000832362119006,0.009999999999996234,0.20599999999999952,0.32504686360345825,0.9028480805390559,0.9983179954677531,0.587999999999997,0.10904686360346774,0.06255390940110316,0.4270601701426028,0.02000000000000076,0.5125300850712972,0.3919999999999984,0.22600000000000436,0.9999999999999946,0.5148900262207453,0.3015902552139041,0.9999999999999967,0.000219947558507035,0.10053008507130141,0.3868194895721899,0.009999999999994456,0.0,0.010000000000000378,0.09346541541315645,0.0,0.019999999999988912,0.4951099737792516,0.020000000000000753,0.9999999999999966,0.6156400588505535,0.020000000000001936,0.0,0.19599999999999912,0.009999999999994458,0.009999999999994458,0.9110775869010722,0.010219947558501493,0.009999999999994458,0.9110775869010722,0.05255390940109805,0.0,0.6039368898242076,0.10053008507130141,0.24855390940109712,0.20599999999999946,0.020000000000004903,0.0,0.20600000000000424,0.010000000000005114
16.0,0.30689008884250113,0.33085802790108965,0.0,0.99999999999999989,0.010000000000000231,0.50699914700110749,0.20799999999999963,171858449751.8006,0.9999999999999999,0.23333333333333542,0.8671535081990785,0.8263900262207441,0.41076348197834356,0.0,0.12666666666666637,0.010000000000000757,0.19799999999999926,0.704390026220743,0.2775389812421138,0.368872314575447,0.6039999999999975,0.8571535081990781,0.030000000000001137,0.4313333333333303,0.010000000000000378,0.5126666666666647,0.40599999999999875,0.2180000000000024,0.9999999999999964,0.505109973779255,0.3299999999999997,0.9849999999999959,0.0197800524414941,0.11666666666666656,0.3499999999999999,0.00999999999999801,0.0,0.0,0.00999999999999801,0.00999999999999801,0.40076348197834016,0.3371455490126992,0.020000000000003716,0.8372555227919511,0.6015566928874109,0.009999999999999787,0.0,0.19799999999999926,0.0,0.0,0.7892909943020207,0.0197800524414941,0.0,0.799290994302021,0.010000000000000378,0.0,0.9814999999999964,0.10666666666666617,0.2079999999999996,0.21977648127451196,0.0,0.010000000000000378,0.20799999999999963,0.0
16.1,0.29551060817097624,0.34170054217923546,0.0,0.99999999999999811,0.010000000000000378,0.4322222222222199,0.19599999999999917,165485940575.74664,0.999999999999998,0.24111111111111252,0.9999999999999981,0.9526824903798192,0.3731467473919222,0.0,0.1055555555555547,0.307869076321234,0.19599999999999917,0.8420158237131532,0.11555555555553929,0.20599999999999954,0.5979999999999982,0.7021309236787635,0.00999999999999995,0.40711111111110876,0.030000000000001133,0.5075555555555533,0.4019999999999987,0.19599999999999917,0.999999999999998,0.6270001602138121,0.31666666666666393,0.729171386631955,0.010000000000000378,0.12555555555555617,0.33666666666666445,0.020000000000012598,0.0,0.0,0.0200000000000126,0.010000000000012221,0.3731467473919222,0.0,0.0,0.10217122641815439,0.7225557157693664,0.020000000000000323,0.0,0.19599999999999917,0.0,0.010000000000000378,0.9899999999999965,0.020000000000001943,0.010000000000000378,0.999999999999997,0.0,0.0,0.9751469076057325,0.1255555555555566,0.20599999999999954,0.20422351872550004,0.0,0.0,0.20599999999999954,0.0
16.2,0.2216724465700117,0.27251414384302347,0.0,1.0000000000000149,0.017499999999987342,0.27955562414229712,0.1238888888888996,124136570079.20659,1.0000000000000149,0.22777777777778183,1.0000000000000124,0.8366666666666784,0.2600000000000158,0.0,0.10888888888889016,0.25000000000000355,0.19800000000000267,0.7080000000000105,0.10888888888889016,0.19800000000000267,0.5940000000000093,0.7700000000000152,0.02000000000000668,0.4157777777777828,0.010000000000008273,0.5148888888889038,0.39600000000000557,0.20800000000000307,1.0000000000000144,0.0760723792735174,0.3366666666666718,0.07607237927348977,0.01999999999997905,0.13888888888890905,0.3666666666666788,0.010000000000012221,0.010000000000012223,0.010000000000012221,0.0300000000000189,0.0,0.2600000000000158,0.0,0.020000000000020498,0.010000000000008273,0.19496126816239037,0.040000000000006454,0.0,0.20799999999999355,0.01000000000000038,0.00999999999998459,0.2770556241422994,0.03836735365290956,0.01999999999997905,0.28705562414229036,0.009999999999990905,0.0,0.3160723792735266,0.10888888888889016,0.22799999999999673,0.19800000000000267,0.020000000000003713,0.040000000000009805,0.20799999999999363,0.009999999999990905
16.3,0.24957257565080787,0.30933013742705456,0.0,1.0000000000000169,0.0099999999999909051,0.33304570805662453,0.15466943109074688,139760642364.45233,1.0000000000000169,0.22399204181779098,1.0000000000000153,0.926416030751724,0.24319346089704905,0.0,0.10819079040869614,0.20319346089706639,0.19353761077239903,0.5999245325665313,0.11580125140908001,0.19353761077239903,0.590612832317197,0.7968065391029462,0.009999999999990907,0.6100774144589105,0.009999999999990905,0.5151884190919125,0.3993871676828166,0.2235376107723908,1.000000000000014,0.00999999999999801,0.34280295254583953,0.8087526212694133,0.8087526212694133,0.10580125140909542,0.32979329322688616,0.03999999999996678,0.009999999999990905,0.009999999999990905,0.0,0.009999999999984589,0.23319346089704862,0.0,0.009999999999990905,0.7987526212694187,0.11580125140909471,0.0023895389996007243,0.0,0.21584955691041813,0.0,0.010000000000000378,0.0,0.001632646347076161,0.0,0.0,0.0,0.0,0.20319346089706639,0.27302740782084367,0.20353761077238994,0.2035376107723994,0.029999999999982187,0.009999999999990905,0.21584955691040866,0.009999999999990907
16.4,0.30779153246245811,0.34148027046292484,0.0,1.0000000000000133,0.010000000000011415,0.47884908619742095,0.18719010157594396,172363258178.9765,1.0000000000000127,0.7484334296884456,1.000000000000013,0.9893244529284919,0.4337450141198501,0.0,0.651567350176354,0.19604379700047442,0.07831796924294751,0.5804240001523627,0.10686607951210035,0.17833640615141347,0.4449907815457737,0.8139562029995366,0.009999999999998009,0.847043591718278,0.0,0.6518752979663307,0.4349907815457742,0.20833640615141297,1.0000000000000133,0.019999999999992468,0.3911930619270686,0.9662378321498941,0.956237832149896,0.10686607951208227,0.30820869953667157,0.010000000000008993,0.009999999999994458,0.0,0.0,0.010000000000008993,0.20093430449929492,0.0,0.0,0.956237832149896,0.10686607951208936,0.007610461000398577,0.0,0.35667281230282694,0.02999999999999944,0.010000000000012221,0.28568210026192514,0.020000000000024443,0.010000000000012221,0.5813642005238505,0.009999999999994458,0.0,0.22604379700046057,0.30290987651257795,0.08831796924293842,0.17833640615141347,0.03999999999999745,0.019999999999988912,0.36667281230282733,0.28568210026192514
16.5,0.34582864757642273,0.38320326566519797,0.0,1.0000000000000158,0.00999999999999579,0.65313646879248766,0.18122291048646233,193664042642.79678,1.0000000000000144,0.9919055128706119,1.0000000000000149,1.0000000000000144,0.9994538937422465,0.009999999999990905,0.9035326384827406,0.1494004619285432,0.13203586054160088,0.6338821434430908,0.09837287438787196,0.20304535904439047,0.3974734295472075,0.8305995380714731,0.02999999999998917,0.8702715526218572,0.01000000000000189,0.7108994448406782,0.38416867620700706,0.2330453590444002,1.0000000000000158,0.0,0.39976275367278374,1.0000000000000144,1.0000000000000144,0.11837287438786216,0.2951186231636156,0.009999999999997419,0.040000000000002374,0.009999999999997419,0.0,0.009999999999997419,0.2708993071071928,0.0,0.040000000000005045,1.0000000000000144,0.09837287438787196,0.0,0.0,0.412785964748592,0.0,0.0,0.5000000000000069,0.0,0.0,1.0000000000000142,0.009999999999990905,0.009999999999990905,0.15940046192853416,0.24777333631641507,0.0,0.22304535904440306,0.019999999999997495,0.0,0.41278596474859275,0.49000000000000643
16.6,0.30598773847743105,0.34870252674618268,0.0,1.0000000000000155,0.010000000000000378,0.43362777984372486,0.17870683093977524,171353133547.36136,1.0000000000000144,0.9742919004450821,1.0000000000000155,1.0000000000000153,1.000000000000014,0.0,0.888728846026631,0.1451371195878864,0.1451371195878864,0.6492176203954718,0.09986288041211772,0.1922765422916832,0.4031703731249638,0.8348628804121261,0.009999999999999301,0.8492788454076049,0.010000000000006538,0.688222226627294,0.41317037312496413,0.2122765422916959,1.0000000000000142,0.019999999999980922,0.4051225435209732,0.305009546580659,0.29500954658066897,0.09986288041211772,0.2852888152426885,0.010000000000002842,0.0,0.009999999999990017,0.009999999999994456,0.0,0.2872943206181865,0.019999999999988912,0.0,0.2750095465806623,0.085563054418444,0.019999999999993755,0.0,0.3845530845833666,0.0,0.0,0.495000000000007,0.04999999999997661,0.009999999999994456,1.0000000000000144,0.010000000000000378,0.010000000000000378,0.1651371195878673,0.255000000000003,0.010000000000000378,0.20227654229169542,0.0,0.009999999999999301,0.39455308458336685,0.495000000000007
16.7,0.28544046214598778,0.34721578270914616,0.0,1.0000000000000153,0.010000000000001565,0.46024285637977502,0.13315161174261422,159846658801.75317,1.0000000000000095,0.7511209835748041,0.9957692307692462,1.0000000000000118,1.0000000000000142,0.0,0.7711209835748047,0.13315161174261422,0.13315161174261422,0.6148373965894757,0.136848388257411,0.19691228070175698,0.403824561403514,0.8426176190266285,0.03999999999999543,0.8829599344095214,0.009999999999997615,0.72149410751376,0.40154385964912365,0.22691228070175815,1.0000000000000153,0.0,0.4457580587130692,0.010000000000011893,0.020000000000013455,0.11684838825739004,0.2336967765147789,0.010000000000011893,0.0,0.0,0.0,0.020000000000023787,0.27815719777070164,0.020000000000024117,0.009999999999997615,0.020000000000024117,0.010000000000001565,0.0,0.0,0.39154385964912797,0.020000000000000753,0.010000000000000378,0.5136972493798868,0.027394498759773473,0.010000000000001563,1.0000000000000142,0.01999999999999484,0.010000000000000382,0.13315161174261422,0.26000000000000006,0.010000000000000382,0.19691228070175698,0.020000000000000753,0.0,0.40154385964912687,0.5036972493798924
